Nombre,Origen,Destino,Peso
CA1H,a1,a2,8
CA2H,a2,a3,17
CA3H,a3,a4,3
CA4H,a4,a5,1
CB1H,b2,b1,11
CB2H,b3,b2,10
CB3H,b4,b3,14
CB4H,b5,b4,16
CC1H,c1,c2,8
CC2H,c2,c3,1
CC3H,c3,c4,9
CC4H,c4,c5,11
CD1H,d2,d1,15
CD2H,d3,d2,14
CD3H,d4,d3,19
CD4H,d5,d4,3
CE1H,e1,e2,7
CE2H,e2,e3,12
CE3H,e3,e4,18
CE4H,e4,e5,7
CA1V,a1,b1,1
CA2V,b2,a2,13
CA3V,a3,b3,8
CA4V,b4,a4,5
CA5V,a5,b5,7
CB1V,b1,c1,12
CB2V,c2,b2,1
CB3V,b3,c3,9
CB4V,c4,b4,14
CB5V,b5,c5,9
CC1V,c1,d1,10
CC2V,d2,c2,11
CC3V,c3,d3,5
CC4V,d4,c4,8
CC5V,c5,d5,17
CD1V,d1,e1,5
CD2V,e2,d2,15
CD3V,d3,e3,11
CD4V,e4,d4,19
CD5V,d5,e5,16
