Nombre,Origen,Destino,Peso
CA1H,a1,a2,2
CA2H,a2,a3,12
CA3H,a3,a4,14
CA4H,a4,a5,12
CA5H,a5,a6,5
CB1H,b2,b1,15
CB2H,b3,b2,16
CB3H,b4,b3,15
CB4H,b5,b4,6
CB5H,b6,b5,6
CC1H,c1,c2,10
CC2H,c2,c3,1
CC3H,c3,c4,11
CC4H,c4,c5,14
CC5H,c5,c6,11
CD1H,d2,d1,4
CD2H,d3,d2,13
CD3H,d4,d3,3
CD4H,d5,d4,14
CD5H,d6,d5,18
CE1H,e1,e2,3
CE2H,e2,e3,16
CE3H,e3,e4,7
CE4H,e4,e5,17
CE5H,e5,e6,2
CF1H,f2,f1,18
CF2H,f3,f2,7
CF3H,f4,f3,5
CF4H,f5,f4,14
CF5H,f6,f5,14
CA1V,a1,b1,20
CA2V,b2,a2,11
CA3V,a3,b3,5
CA4V,b4,a4,14
CA5V,a5,b5,19
CA6V,b6,a6,1
CB1V,c1,b1,3
CB2V,b2,c2,6
CB3V,c3,b3,18
CB4V,b4,c4,14
CB5V,c5,b5,4
CB6V,b6,c6,12
CC1V,c1,d1,12
CC2V,d2,c2,3
CC3V,c3,d3,12
CC4V,d4,c4,3
CC5V,c5,d5,2
CC6V,d6,c6,11
CD1V,e1,d1,10
CD2V,d2,e2,8
CD3V,e3,d3,11
CD4V,d4,e4,11
CD5V,e5,d5,8
CD6V,d6,e6,16
CE1V,e1,f1,7
CE2V,f2,e2,11
CE3V,e3,f3,4
CE4V,f4,e4,15
CE5V,e5,f5,20
CE6V,f6,e6,15
