Nombre,Origen,Destino,Peso
CA1H,a1,a2,3
R_CA1H,a2,a1,3
CA2H,a2,a3,5
R_CA2H,a3,a2,5
CA3H,a3,a4,2
R_CA3H,a4,a3,2
CB1H,b1,b2,4
R_CB1H,b2,b1,4
CB2H,b2,b3,6
R_CB2H,b3,b2,6
CB3H,b3,b4,3
R_CB3H,b4,b3,3
CC1H,c1,c2,7
R_CC1H,c2,c1,7
CC2H,c2,c3,2
R_CC2H,c3,c2,2
CC3H,c3,c4,5
R_CC3H,c4,c3,5
CD1H,d1,d2,4
R_CD1H,d2,d1,4
CD2H,d2,d3,8
R_CD2H,d3,d2,8
CD3H,d3,d4,3
R_CD3H,d4,d3,3
CA1V,a1,b1,5
R_CA1V,b1,a1,5
CA3V,a3,b3,4
R_CA3V,b3,a3,4
CB2V,b2,c2,6
R_CB2V,c2,b2,6
CB4V,b4,c4,3
R_CB4V,c4,b4,3
CC1V,c1,d1,7
R_CC1V,d1,c1,7
CC3V,c3,d3,5
R_CC3V,d3,c3,5
